input_vis,input_category,model0,model1
https://raw.githubusercontent.com/omriav/public/master/amt_data/035/input_visualizations.jpg,bench,https://raw.githubusercontent.com/omriav/public/master/amt_data/035/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/035/dragon_diffusion.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/036/input_visualizations.jpg,cock,https://raw.githubusercontent.com/omriav/public/master/amt_data/036/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/036/dragon_diffusion.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/037/input_visualizations.jpg,zebra,https://raw.githubusercontent.com/omriav/public/master/amt_data/037/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/037/dragon_diffusion.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/038/input_visualizations.jpg,cow,https://raw.githubusercontent.com/omriav/public/master/amt_data/038/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/038/dragon_diffusion.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/039/input_visualizations.jpg,bird,https://raw.githubusercontent.com/omriav/public/master/amt_data/039/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/039/dragon_diffusion.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/040/input_visualizations.jpg,bird,https://raw.githubusercontent.com/omriav/public/master/amt_data/040/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/040/dragon_diffusion.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/041/input_visualizations.jpg,bench,https://raw.githubusercontent.com/omriav/public/master/amt_data/041/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/041/dragon_diffusion.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/042/input_visualizations.jpg,fireplug,https://raw.githubusercontent.com/omriav/public/master/amt_data/042/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/042/dragon_diffusion.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/043/input_visualizations.jpg,zebra,https://raw.githubusercontent.com/omriav/public/master/amt_data/043/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/043/dragon_diffusion.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/044/input_visualizations.jpg,cow,https://raw.githubusercontent.com/omriav/public/master/amt_data/044/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/044/dragon_diffusion.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/045/input_visualizations.jpg,boat,https://raw.githubusercontent.com/omriav/public/master/amt_data/045/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/045/dragon_diffusion.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/046/input_visualizations.jpg,zebra,https://raw.githubusercontent.com/omriav/public/master/amt_data/046/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/046/dragon_diffusion.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/047/input_visualizations.jpg,refrigerator,https://raw.githubusercontent.com/omriav/public/master/amt_data/047/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/047/dragon_diffusion.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/048/input_visualizations.jpg,television receiver,https://raw.githubusercontent.com/omriav/public/master/amt_data/048/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/048/dragon_diffusion.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/049/input_visualizations.jpg,donut,https://raw.githubusercontent.com/omriav/public/master/amt_data/049/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/049/dragon_diffusion.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/050/input_visualizations.jpg,person,https://raw.githubusercontent.com/omriav/public/master/amt_data/050/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/050/dragon_diffusion.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/051/input_visualizations.jpg,bear,https://raw.githubusercontent.com/omriav/public/master/amt_data/051/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/051/dragon_diffusion.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/052/input_visualizations.jpg,zebra,https://raw.githubusercontent.com/omriav/public/master/amt_data/052/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/052/dragon_diffusion.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/053/input_visualizations.jpg,giraffe,https://raw.githubusercontent.com/omriav/public/master/amt_data/053/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/053/dragon_diffusion.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/054/input_visualizations.jpg,airplane,https://raw.githubusercontent.com/omriav/public/master/amt_data/054/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/054/dragon_diffusion.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/055/input_visualizations.jpg,bear,https://raw.githubusercontent.com/omriav/public/master/amt_data/055/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/055/dragon_diffusion.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/056/input_visualizations.jpg,fire hydrant,https://raw.githubusercontent.com/omriav/public/master/amt_data/056/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/056/dragon_diffusion.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/057/input_visualizations.jpg,fire hydrant,https://raw.githubusercontent.com/omriav/public/master/amt_data/057/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/057/dragon_diffusion.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/058/input_visualizations.jpg,zebra,https://raw.githubusercontent.com/omriav/public/master/amt_data/058/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/058/dragon_diffusion.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/059/input_visualizations.jpg,bench,https://raw.githubusercontent.com/omriav/public/master/amt_data/059/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/059/dragon_diffusion.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/060/input_visualizations.jpg,sheep,https://raw.githubusercontent.com/omriav/public/master/amt_data/060/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/060/dragon_diffusion.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/061/input_visualizations.jpg,giraffe,https://raw.githubusercontent.com/omriav/public/master/amt_data/061/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/061/dragon_diffusion.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/062/input_visualizations.jpg,fire hydrant,https://raw.githubusercontent.com/omriav/public/master/amt_data/062/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/062/dragon_diffusion.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/063/input_visualizations.jpg,elephant,https://raw.githubusercontent.com/omriav/public/master/amt_data/063/ours.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/063/dragon_diffusion.jpg
